Quận;Tên hồ, ao, đầm, phá;Vị trí, địa điểm (xã/phường);Diện tích (m2);Chức năng;Đơn vị quản lý
Hải Châu;Hồ đình làng Hải CHâu;K48 Phan Châu Trinh, Phường Hải Châu 1;705;Tôn tạo cảnh quan khu vực di tích đình làng Hải Châu, điều hoà khí hậu;UBND phường Hải Châu 1
Hải Châu;Hồ Đảo Xanh;Phường Hòa Cường Bắc;169.730;Tôn tạo cảnh quan, điều tiết nước, điều hoà khí hậu;UBND quận Hải Châu và Công ty CP Tập đoàn Sungroup tại Đà Nẵng
Hải Châu;Hồ Đò Xu;Phường Hòa Cường Nam;67.108;Hồ điều hòa, tiêu, thoát nước nhằm bảo đảm vệ sinh môi trường;UBND quận Hải Châu
Hải Châu;Các ao, hồ, đầm, phá có nguồn gốc tự nhiên khác được giao cho các tổ chức, cá nhân khai thác, sử dụng;;;;
Thanh Khê;Hồ Công viên 29/3;Phường Thạc Gián;107.656;Tôn tạo cảnh quan, điều tiết nước và điều hòa khí hậu;UBND quận Thanh Khê
Thanh Khê;Hồ Thạc Gián;Phường Thạc Gián;16.322;Tôn tạo cảnh quan, điều tiết nước và điều hòa khí hậu;Công ty TN&XLNT Đà Nẵng
Thanh Khê;Hồ Vĩnh Trung;Phường Vĩnh Trung;15.147;Tôn tạo cảnh quan, điều tiết nước và điều hòa khí hậu;Công ty TN&XLNT Đà Nẵng
Thanh Khê;Hồ Xuân Hoà A;Phường Hòa Khê;47.572,80;Tôn tạo cảnh quan, điều tiết nước và điều hòa khí hậu;UBND quận Thanh Khê
Thanh Khê;Hồ Phần Lăng 1;Phường An Khê;11.328;Tôn tạo cảnh quan, điều tiết nước và điều hòa khí hậu;Công ty TN&XLNT Đà Nẵng
Thanh Khê;Hồ Bàu Làng;Phường Thanh Khê Đông;6293,59;Tôn tạo cảnh quan, điều tiết nước và điều hòa khí hậu;Công ty TN&XLNT Đà Nẵng
Thanh Khê;Hồ điều tiết phường An Khê;Phường An Khê;;Tôn tạo cảnh quan, điều tiết nước và điều hòa khí hậu;Hiện nay Ban quản lý dự án đầu tư xây dựng các công trình dân dụng và công nghiệp ĐN đang triển khai dự án Khu vực phía Tây hồ điều tiết thuộc dự án khu dân cư Phần Lăng 2 (giai đoạn 2)
Thanh Khê;Hồ 02 hecta;Phường Thanh Khê Tây;20.000;Tôn tạo cảnh quan, điều tiết nước và điều hòa khí hậu;UBND quận Thanh Khê
Thanh Khê;Các ao, hồ, đầm, phá có nguồn gốc tự nhiên khác được giao cho các tổ chức, cá nhân khai thác, sử dụng;;;;
Sơn Trà;Hồ xanh;Bán đảo Sơn Trà, phường Thọ Quang;64.800;Dự phòng cung cấp nước sinh hoạt, tôn tạo cảnh quan, điều hòa khí hậu;UBND quận Sơn Trà
Sơn Trà;Các ao, hồ, đầm, phá có nguồn gốc tự nhiên khác được giao cho các tổ chức, cá nhân khai thác, sử dụng;;;;
Ngũ Hành Sơn;Ao Bàu Cung;Phường Hòa Quý;24.160;Tôn tạo cảnh quan, điều tiết nước và điều hòa khí hậu;UBND phường Hoà Quý
Ngũ Hành Sơn;Bàu Rộc Nô;Phường Hòa Quý;3.369;Cấp nước phục vụ sản xuất nông nghiệp, điều tiết nước;UBND phường Hoà Quý
Ngũ Hành Sơn;Bàu Dừa;Phường Hòa Quý;10.000;Cấp nước phục vụ sản xuất nông nghiệp, điều tiết nước;UBND phường Hoà Quý
Ngũ Hành Sơn;Hồ Bá Tùng;Phường Hòa Quý;74.661;Tôn tạo cảnh quan, điều tiết nước và điều hòa khí hậu;Công ty TN&XLNT Đà Nẵng
Ngũ Hành Sơn;Hồ điều tiết khu căn cứ K20;Phường Khuê Mỹ;3260;Tôn tạo cảnh quan, điều tiết nước và điều hòa khí hậu;Công ty TN&XLNT Đà Nẵng
