Phân loại;Năm 2002 (ĐVT: °C);Năm 2003 (ĐVT: °C);Năm 2004 (ĐVT: °C);Năm 2005 (ĐVT: °C);Năm 2006 (ĐVT: °C);Năm 2007 (ĐVT: °C);Năm 2008 (ĐVT: °C);Năm 2009 (ĐVT: °C);Năm 2010 (ĐVT: °C);Năm 2011 (ĐVT: °C);Năm 2012 (ĐVT: °C);Năm 2013 (ĐVT: °C);Năm 2014 (ĐVT: °C);Năm 2015 (ĐVT: °C);Năm 2016 (ĐVT: °C);Năm 2017 (ĐVT: °C);Năm 2018 (ĐVT: °C);Năm 2019 (ĐVT: °C);Năm 2020 (ĐVT: °C);Năm 2021 (ĐVT: °C);Năm 2022 (ĐVT: °C);Năm 2023 (ĐVT: °C);Năm 2024 (ĐVT: °C)
Tháng 1;21.7;20.8;21.9;21.5;21.6;21.3;21.6;20.6;23.1;20.0;21.4;21.9;20.3;21.1;23.2;23.1;22.3;22.4;23.6;20.3;23.2;19.0;23.0
Tháng 2 ;22.4;23.6;21.2;23.9;23.3;23.7;19.4;23.7;24.4;21.5;22.2;24.4;21.9;22.9;21.1;22.6;21.5;25.0;23.6;22.3;22.5;22.2;24.4
Tháng 3;24.4;24.5;24.1;22.8;24.0;25.4;23.3;25.5;24.6;21.5;24.3;25.3;24.4;25.4;23.4;24.9;24.2;26.3;26.6;25.8;25.6;23.5;25.9
Tháng 4 ;26.7;27.0;26.5;25.8;26.9;26.4;27.0;26.9;26.9;24.9;27.0;27.0;27.0;26.2;27.1;26.9;25.9;28.0;26.4;27.5;25.7;27.4;28.8
Tháng 5 ;28.8;28.5;28.4;28.9;27.6;28.1;27.7;27.6;29.4;28.1;29.3;29.2;29.3;29.8;28.7;28.6;28.9;29.8;29.4;29.6;27.8;28.9;29.6
Tháng 6 ;29.5;29.6;29.2;30.5;30.2;29.8;29.4;30.6;29.7;29.3;30.6;29.6;30.8;29.8;30.1;30.3;29.8;31.4;30.3;31.1;30.2;29.9;30.8
Tháng 7 ;30.5;28.8;28.3;28.4;30.1;29.4;29.5;29.3;29.1;29.7;29.5;28.6;29.3;29.6;29.8;28.6;29.6;30.9;29.6;30.9;29.6;30.1;29.7
Tháng 8 ;28.2;29.0;28.9;28.7;28.3;28.8;28.6;29.2;28.1;29.2;29.7;29.3;29.3;29.2;30.2;29.7;30.1;30.2;29.3;30.8;28.8;30.4;30.3
Tháng 9 ;27.0;27.1;27.3;27.9;27.3;27.8;27.8;27.5;27.7;26.9;27.4;27.1;28.7;28.8;28.6;28.9;28.9;27.9;29.4;27.8;28.2;28.1;29.2
Tháng 10 ;26.0;25.9;25.0;26.3;26.7;26.0;26.3;26.7;25.9;25.6;26.3;26.0;26.4;26.6;27.5;26.7;27.0;27.1;25.9;26.8;26.2;26.0;26.5
Tháng 11;24.7;24.5;24.3;25.2;26.2;23.2;24.4;24.4;23.7;24.6;26.0;25.2;25.9;26.7;25.8;24.9;25.8;25.3;25.0;25.1;26.3;24.6;25.6
Tháng 12 ;23.5;21.5;21.8;21.2;23.4;23.9;21.5;23.2;22.5;20.8;24.5;20.8;21.7;23.9;23.2;22.2;24.2;22.7;22.3;22.4;22.1;22.1;22.4
