Phân loại;Năm  2002 (ĐVT: Giờ);Năm  2003 (ĐVT: Giờ);Năm  2004 (ĐVT: Giờ);Năm  2005 (ĐVT: Giờ);Năm  2006 (ĐVT: Giờ);Năm  2007 (ĐVT: Giờ);Năm  2008 (ĐVT: Giờ);Năm  2009 (ĐVT: Giờ);Năm  2010 (ĐVT: Giờ);Năm  2011 (ĐVT: Giờ);Năm  2012 (ĐVT: Giờ);Năm  2013 (ĐVT: Giờ);Năm  2014 (ĐVT: Giờ);Năm  2015 (ĐVT: Giờ);Năm  2016 (ĐVT: Giờ);Năm  2017 (ĐVT: Giờ);Năm  2018 (ĐVT: Giờ);Năm  2019 (ĐVT: Giờ);Năm 2020 (ĐVT: Giờ);Năm 2021 (ĐVT: Giờ);Năm 2022 (ĐVT: Giờ);Sơ bộ 2023 (ĐVT: Giờ);Sơ bộ 2024 (ĐVT: Giờ)
Tháng 1;160.0;116.0;95.0;157.0;94.0;46.0;110.0;116.8;39.1;39.8;63.9;126.1;104.3;151.5;118.8;102.5;56.3;103.4;157.6;66.4;139.6;53.3;132.3
Tháng 2 ;176.0;162.0;153.0;172.0;115.0;182.0;24.0;178.0;87.4;161.9;127.0;156.5;170.3;162.4;111.2;104.1;138.3;224.0;190.9;186.5;69.6;131.0;147.7
Tháng 3;71.0;175.0;131.0;151.0;164.0;174.0;158.0;187.4;107.4;113.0;177.7;173.0;181.1;192.4;158.1;181.4;162.8;191.0;211.5;206.6;172.7;182.3;185.6
Tháng 4 ;233.0;240.0;215.0;193.0;240.0;181.0;241.0;163.2;104.4;174.8;209.9;172.0;228.6;232.2;207.8;202.4;220.0;238.7;161.8;229.7;183.5;186.2;236.9
Tháng 5 ;239.0;256.0;283.0;246.0;261.0;231.0;227.0;226.1;207.9;258.7;258.2;288.3;280.2;281.7;242.0;211.7;283.0;258.0;269.8;313.9;164.9;268.9;185.9
Tháng 6 ;267.0;238.0;239.0;220.0;290.0;277.0;227.0;256.4;212.2;222.9;183.5;237.4;224.0;264.4;263.1;299.3;181.9;280.1;276.6;251.4;289.9;248.7;265.9
Tháng 7 ;191.0;273.0;217.0;217.0;199.0;290.0;227.0;211.9;237.6;232.8;242.0;214.5;231.1;143.7;288.2;188.1;169.3;228.8;307.6;261.9;266.0;263.9;200.2
Tháng 8 ;175.0;205.0;242.0;170.0;178.0;170.0;202.0;235.1;108.8;231.1;219.4;164.0;220.7;262.2;224.5;254.5;172.2;193.7;202.8;265.8;223.8;231.4;309.7
Tháng 9 ;86.0;163.0;162.0;181.0;172.0;200.0;165.0;135.4;145.3;105.5;168.5;145.3;225.2;240.0;189.9;243.9;248.0;163.9;250.5;180.4;183.5;171.6;165.6
Tháng 10 ;175.0;150.0;147.0;109.0;193.0;76.0;112.0;136.2;69.3;107.7;162.5;136.5;166.0;192.8;170.6;133.0;206.7;212.8;56.4;126.5;127.8;126.7;120.0
Tháng 11;102.0;134.;112.0;138.0;209.0;49.0;68.0;116.0;29.7;115.3;156.2;110.8;148.9;172.9;111.4;83.2;143.8;126.7;102.5;100.2;166.3;104.6;103.6
Tháng 12 ;102.0;38.0;125.0;12.0;78.0;126.0;49.0;150.3;84.9;18.1;132.5;51.1;28.2;136.3;39.7;53.5;80.9;97.3;31.2;58.2;55.2;88.4;26.3
