Tên;Địa chỉ;Quận huyện;Phường xã;Vĩ độ;Kinh độ;Chiều cao;Kết cấu;Cấp công trình;Chất lượng;Sức chứa;Hình ảnh
Trường THCS Nguyễn Huệ;134 Quang Trung;Hải Châu;Thạch Thang;16.074138461990206;108.21613543763722;"03 tầng; 12m";Tường xây gạch, trụ BTCT, mái tôn + mái BTCT;3;Tốt;500-600;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-THCSNguyenHue.jpg
Trường MN Tiên Sa;106 Quang Trung;Hải Châu;Thạch Thang;16.074436964176744;108.2177850072796;"04 tầng; 15m";Tường xây gạch, trụ BTCT, mái tôn + mái BTCT;3;Tốt;200-300;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-MNTienSa.jpg
UBND phường Tân Chính;245 Lê Duẩn;Thanh Khê;Tân Chính;16.069708251689157;108.21164232211545;04 tầng;BTCT;3;Tốt;100;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-ubndtanchinh.jpg
Trạm y tế phường Thạc Gián;439 Lê Duẩn;Thanh Khê;Thạc Gián;16.067152004688978;108.2077129650861;02 tầng;BTCT;3;Tốt;50;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-TYTThacGian.jpg
Trường THCS Nguyễn Duy Hiệu;K478/21 Lê Duẩn;Thanh Khê;Chính Gián;16.066986965015531;108.20633900351822;02 tầng;Móng, cột dầm, sàn, mái BTCT, tường gạch xây;3;Tốt;400;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-THCSNguyenDuyHieu.jpg
Trường Tiểu học Trần Cao Vân cơ sở 1;213 Lê Duẩn;Thanh Khê;Tân Chính;16.06987763987767;108.2124054002368;03 tầng;BTCT;3;Tốt;150;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-THTranCaoVan.jpg
Trường TH Lý Tự Trọng;12 Lý Tự Trọng;Hải Châu;Thạch Thang;16.077551949485013;108.22127311210184;"04 tầng; 15m";"Tường xây gạch, trụ BTCT, mái
BTCT";3;Tốt;500-600;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-12lytutrong.jpg
Trường MN Trúc Đào;20 Lý Tự Trọng;Hải Châu;Thạch Thang;16.07722362045966;108.21896310996902;"03 tầng; 12m";"Tường xây gạch, trụ BTCT, mái tôn
+ mái BTCT";3;Tốt;50-100;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-20lytutrong.jpg
Trường THPT Hoàng Hoa Thám;63 Phạm Cự Lượng;Sơn Trà;An Hải Đông;16.0581932521767;108.2369943850919;02 tầng;BTCT;3;Tốt;500;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-63phamculuong.jpg
Trường THPT Ngô Quyền;57 Phạm Cự Lượng;Sơn Trà;An Hải Bắc;16.062233231093817;108.23578834740026;02 tầng;BTCT;3;Tốt;400;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-57phamculuong.jpg
Trường TH Hùng Vương;106/7 Huỳnh Thúc Kháng;Hải Châu;Nam Dương;16.059271588472537;108.21777424671535;03 tầng;Bê tông, cốt thép, mái đúc;3;Tốt;300 trong điều kiện bình thường;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-106.7huynhthuckhang.jpg
Trường TH Quang Trung;37 Trương Định;Sơn Trà;Mân Thái;16.089517939964416;108.24533545934754;02 tầng;BTCT;3;Tốt;500;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-37truongdinh.jpg
Trường THCS Nguyễn Thị Định;55 Yên Thế;Cẩm Lệ;Hòa An;16.05602697649841;108.17691449052312;03 tầng;BTCT;3;Tốt;200;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-55yenthe.jpg
Trường TH Trần Nhân Tông CS1;444 Thăng Long;Cẩm Lệ;Hòa Thọ Đông;16.010366316621784;108.2047798914074;02 tầng;BTCT;3;Tốt;500;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-444thanglong.jpg
Trường THCS Nguyễn Công Trứ;496 Tôn Đản;Cẩm Lệ;Hòa Phát;16.041682255493846;108.18343925890233;02 tầng;BTCT;2;Tốt;150;https://congdulieu.vn/cdldnfiles/nhatrubao/NTB-496tondan.jpg
