Tên;Quận huyện;Phường xã;Vĩ độ;Kinh độ;Hình ảnh
ĐN22 (285 Nguyễn Công Trứ);Sơn Trà;Phước Mỹ;16.065074203275106;108.2422527212798;https://congdulieu.vn/cdldnfiles/tramcanhbao/TCBTT-285nguyencongtru.jpg
ĐN08 (100 Mai Lão Bạng);Hải Châu;Thuận Phước;16.084380742830653;108.21696037495215;https://congdulieu.vn/cdldnfiles/tramcanhbao/TCBTT-100mailaobang.jpg
ĐN28 (69 Trương Định);Sơn Trà;Mân Thái;16.088959676651974;108.24811990619743;https://congdulieu.vn/cdldnfiles/tramcanhbao/TCBTT-69truongdinh.jpg
ĐN20 (37 Nại Hiên Đông 1);Sơn Trà;Nại Hiên Đông;16.091484431032175;108.23582067875316;https://congdulieu.vn/cdldnfiles/tramcanhbao/TCBTT-37naihiendong1.jpg
ĐN21 (117 Vân Đồn);Sơn Trà;Nại Hiên Đông;16.088058059464664;108.23109237372184;https://congdulieu.vn/cdldnfiles/tramcanhbao/TCBTT-117vandon.jpg
ĐN12 (Kiệt 272/27 Trần Cao Vân);Thanh Khê;Tam Thuận;16.072515242242087;108.20406111259987;https://congdulieu.vn/cdldnfiles/tramcanhbao/TCBTT-272trancaovan.jpg
ĐN15 (369 Trần Cao Vân);Thanh Khê;Xuân Hà;16.071029331989926;108.1960956766756;https://congdulieu.vn/cdldnfiles/tramcanhbao/TCBTT-369trancaovan.jpg
ĐN16 (856 Trần Cao Vân);Thanh Khê;Thanh Khê Đông;16.06886608779926;108.18306732184014;https://congdulieu.vn/cdldnfiles/tramcanhbao/TCBTT-856trancaovan.jpg
ĐN11 (300 Dũng Sỹ Thanh Khê);Thanh Khê;Thanh Khê Tây;16.07733438847152;108.17164361240845;https://congdulieu.vn/cdldnfiles/tramcanhbao/TCBTT-300dungsythanhkhe.jpg
ĐN10 (76 Ông Ích Khiêm);Hải Châu;Thanh Bình;16.076683581162712;108.21173069593044;https://congdulieu.vn/cdldnfiles/tramcanhbao/TCBTT-76ongichkhiem.jpg
ĐN09 (88 Đống Đa);Hải Châu;Thuận Phước;16.081340416403727;108.21892832428509;https://congdulieu.vn/cdldnfiles/tramcanhbao/TCBTT-88dongda.jpg
ĐN32 (122 Nguyễn Thị Ba);Sơn Trà;Nại Hiên Đông;16.093482423685295;108.22915748750205;https://congdulieu.vn/cdldnfiles/tramcanhbao/TCBTT-122nguyenthiba.jpg
ĐN23 (382 Ngũ Hành Sơn);Ngũ Hành Sơn;Mỹ An;16.038949093402202;108.24215345498949;https://congdulieu.vn/cdldnfiles/tramcanhbao/TCBTT-382nguhanhson.jpg
ĐN25 (108 Hoàng Bình Chính);Ngũ Hành Sơn;Hòa Hải;15.999014873786704;108.26550393867696;https://congdulieu.vn/cdldnfiles/tramcanhbao/TCBTT-108hoangbinhchinh.jpg
Đồn Biên phòng Sơn Trà;Sơn Trà;Thọ Quang;16.093802166813248;108.25112753470643;https://congdulieu.vn/cdldnfiles/tramcanhbao/TCBTT-bpsontra.jpg
ĐN07 (332B Nguyễn Văn Cừ);Liên Chiểu;Hòa Hiệp Bắc;16.13846241065284;108.12000697036778;https://congdulieu.vn/cdldnfiles/tramcanhbao/tcbtt_332b_nguyenvancu.jpg
ĐN01 (67 Nguyễn Văn Cừ);Liên Chiểu;Hòa Hiệp Bắc;16.129468941689556;108.11910373215208;https://congdulieu.vn/cdldnfiles/tramcanhbao/tcbtt_67_nguyenvancu.jpg
ĐN02 (20 Nguyễn Phước Chu);Liên Chiểu;Hòa Hiệp Bắc;16.127736220402916;108.12121708274103;https://congdulieu.vn/cdldnfiles/tramcanhbao/tcbtt_20_nguyenphuocchu.jpg
ĐN03 (47 Ngô Xuân Thu);Liên Chiểu;Hòa Hiệp Bắc;16.12192132740012;108.1182152467446;https://congdulieu.vn/cdldnfiles/tramcanhbao/tcbtt_47_ngoxuanthu.jpg
ĐN04 (830 Nguyễn Lương Bằng);Liên Chiểu;Hòa Hiệp Nam;16.112455650976138;108.12903024955065;https://congdulieu.vn/cdldnfiles/tramcanhbao/tcbtt_830_nguyenluongbang.jpg
ĐN05 (Trường THCS Lê Anh Xuân, đường Xuân Thiều 6);Liên Chiểu;Hòa Hiệp Nam;16.104391761462576;108.13416674893683;https://congdulieu.vn/cdldnfiles/tramcanhbao/tcbtt_thcsleanhxuan_xuanthieu6.jpg
