Phân loại;Quận;Phường;Khu vực;Vị trí cụ thể;Điểm đầu;;
"	
Khu vực sạt lở";Xã Trà Tập;Xã Trà Tập;Xã Trà Tập;Xã Trà Tập;15.11994821, 108.0708408;;
"	
Khu vực sạt lở";Xã Trà Tập;Xã Trà Tập;Xã Trà Tập;Xã Trà Tập;15.11810296, 108.0751945;;
"	
Khu vực sạt lở";Xã Trà Tập;Xã Trà Tập;Xã Trà Tập;Xã Trà Tập;15.09542732, 108.0274061;;
"	
Khu vực sạt lở";Xã Trà Tập;Xã Trà Tập;Xã Trà Tập;Xã Trà Tập;15.08969517, 108.0394153;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.2714147, 108.0164794;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.25696179, 108.0235819;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.25364436, 108.0268586;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.25201737, 108.0275753;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.2513213, 108.0285621;;
"	
Khu vực sạt lở";Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;Xã Nam Trà My;15.25092363, 108.0284689;;
"	
Khu vực sạt lở";Xã Trà Giáp;Xã Trà Giáp;Xã Trà Giáp;Xã Trà Giáp;15.17532356, 108.2261661;;
"	
Khu vực sạt lở";Xã Trà Liên;Xã Trà Liên;Xã Trà Liên;Xã Trà Liên;15.35074477, 108.3699129;;
"	
Khu vực sạt lở";Xã Trà Liên;Xã Trà Liên;Xã Trà Liên;Xã Trà Liên;15.3598509, 108.3670228;;
"	
Khu vực sạt lở";Xã Trà Liên;Xã Trà Liên;Xã Trà Liên;Xã Trà Liên;15.36624463, 108.3913362;;
"	
Khu vực sạt lở";Xã Trà Liên;Xã Trà Liên;Xã Trà Liên;Xã Trà Liên;15.36670591, 108.3911415;;
"	
Khu vực sạt lở";Xã Trà Liên;Xã Trà Liên;Xã Trà Liên;Xã Trà Liên;15.36841521, 108.3905113;;
"	
Khu vực sạt lở";Xã Trà Liên;Xã Trà Liên;Xã Trà Liên;Xã Trà Liên;15.37604298, 108.3958258;;
"	
Khu vực sạt lở";Xã Trà Liên;Xã Trà Liên;Xã Trà Liên;Xã Trà Liên;15.34813329, 108.3856116;;
"	
Khu vực sạt lở";Xã Trà Tân;Xã Trà Tân;Xã Trà Tân;Xã Trà Tân;15.31014525, 108.2836;;
"	
Khu vực sạt lở";Xã Trà Tân;Xã Trà Tân;Xã Trà Tân;Xã Trà Tân;15.31056107, 108.2763369;;
"	
Khu vực sạt lở";Xã Trà Tân;Xã Trà Tân;Xã Trà Tân;Xã Trà Tân;15.30803147, 108.2754489;;
"	
Khu vực sạt lở";Xã Trà Liên;Xã Trà Liên;Xã Trà Liên;Xã Trà Liên;15.31413915, 108.2697949;;
"	
Khu vực sạt lở";Xã Trà Liên;Xã Trà Liên;Xã Trà Liên;Xã Trà Liên;15.31412476, 108.2667217;;
"	
Khu vực sạt lở";Xã Trà Liên;Xã Trà Liên;Xã Trà Liên;Xã Trà Liên;15.31445817, 108.2675603;;
"	
Khu vực sạt lở";Xã Trà Tân;Xã Trà Tân;Xã Trà Tân;Xã Trà Tân;15.30969515, 108.2674704;;
"	
Khu vực sạt lở";Xã Trà Tân;Xã Trà Tân;Xã Trà Tân;Xã Trà Tân;15.30930813, 108.2661103;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.34670993, 108.2865367;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.35243135, 108.2863302;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.35339491, 108.2820004;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.35375735, 108.2812744;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.35574234, 108.2767782;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.35836123, 108.271193;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.35929967, 108.2724423;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.36517625, 108.2854534;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.369779, 108.2764334;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.37109227, 108.2814653;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.37192038, 108.2841398;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.3721001, 108.2849598;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.37116772, 108.286095;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.37238949, 108.2986255;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.37118052, 108.2970309;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.34996018, 108.274945;;
"	
Khu vực sạt lở";Xã Trà My;Xã Trà My;Xã Trà My;Xã Trà My;15.36133705, 108.2617331;;
"	
Khu vực sạt lở";Xã Lãnh Ngọc;Xã Lãnh Ngọc;Xã Lãnh Ngọc;Xã Lãnh Ngọc;15.42199853, 108.1716262;;
"	
Khu vực sạt lở";Xã Lãnh Ngọc;Xã Lãnh Ngọc;Xã Lãnh Ngọc;Xã Lãnh Ngọc;15.41717172, 108.1834736;;
"	
Khu vực sạt lở";Phường An Hải;Phường An Hải;Phường An Hải;Phường An Hải;15.35829952, 107.76177;;
"	
Khu vực sạt lở";Xã Phước Thành;Xã Phước Thành;Xã Phước Thành;Xã Phước Thành;15.26620175, 107.8754434;;
"	
Khu vực sạt lở";Xã La Dêê;Xã La Dêê;Xã La Dêê;Xã La Dêê;15.54990326, 107.3857815;;
"	
Khu vực sạt lở";Xã La Dêê;Xã La Dêê;Xã La Dêê;Xã La Dêê;15.55501889, 107.3826618;;
"	
Khu vực sạt lở";Xã La Dêê;Xã La Dêê;Xã La Dêê;Xã La Dêê;15.55588171, 107.3841789;;
"	
Khu vực sạt lở";Xã La Dêê;Xã La Dêê;Xã La Dêê;Xã La Dêê;15.55570327, 107.3850091;;
"	
Khu vực sạt lở";Xã La Dêê;Xã La Dêê;Xã La Dêê;Xã La Dêê;15.55979182, 107.3960915;;
"	
Khu vực sạt lở";Xã La Dêê;Xã La Dêê;Xã La Dêê;Xã La Dêê;15.57489794, 107.4109936;;
"	
Khu vực sạt lở";Xã Đắc Pring;Xã Đắc Pring;Xã Đắc Pring;Xã Đắc Pring;15.49629671, 107.5491775;;
"	
Khu vực sạt lở";Xã Đắc Pring;Xã Đắc Pring;Xã Đắc Pring;Xã Đắc Pring;15.5060699, 107.5419606;;
"	
Khu vực sạt lở";Xã Đắc Pring;Xã Đắc Pring;Xã Đắc Pring;Xã Đắc Pring;15.52908917, 107.5551377;;
"	
Khu vực sạt lở";Xã Đắc Pring;Xã Đắc Pring;Xã Đắc Pring;Xã Đắc Pring;15.54515828, 107.5924407;;
"	
Khu vực sạt lở";Xã Đắc Pring;Xã Đắc Pring;Xã Đắc Pring;Xã Đắc Pring;15.54109168, 107.5782598;;
"	
Khu vực sạt lở";Xã Đắc Pring;Xã Đắc Pring;Xã Đắc Pring;Xã Đắc Pring;15.53640557, 107.5712403;;
"	
Khu vực sạt lở";Xã Đắc Pring;Xã Đắc Pring;Xã Đắc Pring;Xã Đắc Pring;15.53739937, 107.5710518;;
"	
Khu vực sạt lở";Xã Đắc Pring;Xã Đắc Pring;Xã Đắc Pring;Xã Đắc Pring;15.54947837, 107.578019;;
"	
Khu vực sạt lở";Xã Đắc Pring;Xã Đắc Pring;Xã Đắc Pring;Xã Đắc Pring;15.55143029, 107.5685428;;
"	
Khu vực sạt lở";Xã Đắc Pring;Xã Đắc Pring;Xã Đắc Pring;Xã Đắc Pring;15.55299585, 107.5695744;;
"	
Khu vực sạt lở";Xã Đắc Pring;Xã Đắc Pring;Xã Đắc Pring;Xã Đắc Pring;15.55256424, 107.5660885;;
"	
Khu vực sạt lở";Xã Đắc Pring;Xã Đắc Pring;Xã Đắc Pring;Xã Đắc Pring;15.55103777, 107.571182;;
"	
Khu vực sạt lở";Xã Đắc Pring;Xã Đắc Pring;Xã Đắc Pring;Xã Đắc Pring;15.55149433, 107.5735864;;
"	
Khu vực sạt lở";Xã Đắc Pring;Xã Đắc Pring;Xã Đắc Pring;Xã Đắc Pring;15.55269569, 107.573239;;
"	
Khu vực sạt lở";Xã La Dêê;Xã La Dêê;Xã La Dêê;Xã La Dêê;15.53144092, 107.4163281;;
"	
Khu vực sạt lở";Xã La Dêê;Xã La Dêê;Xã La Dêê;Xã La Dêê;15.53843155, 107.4112185;;
"	
Khu vực sạt lở";Xã Trà Tân;Xã Trà Tân;Xã Trà Tân;Xã Trà Tân;15.23566161, 108.1777764;;
